"transcript","cluster","GO"
"TRINITY_DN1007_c0_g1_i10",1,"GO:0005829"
"TRINITY_DN1007_c0_g1_i10",1,"GO:0006623"
"TRINITY_DN1007_c0_g1_i10",1,"GO:0008333"
"TRINITY_DN1007_c0_g1_i10",1,"GO:0009267"
"TRINITY_DN1007_c0_g1_i10",1,"GO:0016236"
"TRINITY_DN1007_c0_g1_i10",1,"GO:0030136"
"TRINITY_DN1007_c0_g1_i10",1,"GO:0030897"
"TRINITY_DN1007_c0_g1_i10",1,"GO:0031901"
"TRINITY_DN1007_c0_g1_i10",1,"GO:0031902"
"TRINITY_DN1007_c0_g1_i10",1,"GO:0034058"
"TRINITY_DN1007_c0_g1_i10",1,"GO:0046872"
"TRINITY_DN10080_c0_g1_i3",1,NA
"TRINITY_DN10081_c0_g1_i1",1,NA
"TRINITY_DN10084_c0_g1_i1",1,NA
"TRINITY_DN10093_c0_g1_i3",1,"GO:0000139"
"TRINITY_DN10093_c0_g1_i3",1,"GO:0001933"
"TRINITY_DN10093_c0_g1_i3",1,"GO:0005794"
"TRINITY_DN10093_c0_g1_i3",1,"GO:0010977"
"TRINITY_DN10093_c0_g1_i3",1,"GO:0033137"
"TRINITY_DN10093_c0_g1_i3",1,"GO:0034067"
"TRINITY_DN10093_c0_g1_i3",1,"GO:0038023"
"TRINITY_DN10094_c0_g1_i10",1,"GO:0005085"
"TRINITY_DN10094_c0_g1_i10",1,"GO:0005886"
"TRINITY_DN10094_c0_g1_i10",1,"GO:0007265"
"TRINITY_DN10096_c0_g1_i1",1,"GO:0000122"
"TRINITY_DN10096_c0_g1_i1",1,"GO:0002088"
"TRINITY_DN10096_c0_g1_i1",1,"GO:0005634"
"TRINITY_DN10096_c0_g1_i1",1,"GO:0007219"
"TRINITY_DN10096_c0_g1_i1",1,"GO:0007517"
"TRINITY_DN10096_c0_g1_i1",1,"GO:0014029"
"TRINITY_DN10096_c0_g1_i1",1,"GO:0021501"
"TRINITY_DN10096_c0_g1_i1",1,"GO:0033504"
"TRINITY_DN10096_c0_g1_i1",1,"GO:0042462"
"TRINITY_DN10096_c0_g1_i1",1,"GO:0043066"
"TRINITY_DN10096_c0_g1_i1",1,"GO:0043565"
"TRINITY_DN10096_c0_g1_i1",1,"GO:0045494"
"TRINITY_DN10096_c0_g1_i1",1,"GO:0045892"
"TRINITY_DN10096_c0_g1_i1",1,"GO:0046982"
"TRINITY_DN10096_c0_g1_i1",1,"GO:0048642"
"TRINITY_DN10096_c0_g1_i1",1,"GO:0050768"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0000307"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0000320"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0001890"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0005634"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0005737"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0005813"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0005814"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0010826"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0010997"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0016538"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0016567"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0019005"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0030054"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0031146"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0044772"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0048471"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0051301"
"TRINITY_DN100984_c0_g1_i4",1,"GO:0051726"
"TRINITY_DN100990_c2_g1_i2",1,"GO:0000122"
"TRINITY_DN100990_c2_g1_i2",1,"GO:0000977"
"TRINITY_DN100990_c2_g1_i2",1,"GO:0001227"
"TRINITY_DN100990_c2_g1_i2",1,"GO:0005634"
"TRINITY_DN100990_c2_g1_i2",1,"GO:0046872"
"TRINITY_DN101012_c0_g1_i1",1,"GO:0000027"
"TRINITY_DN101012_c0_g1_i1",1,"GO:0003735"
"TRINITY_DN101012_c0_g1_i1",1,"GO:0005840"
"TRINITY_DN101012_c0_g1_i1",1,"GO:0006412"
"TRINITY_DN101012_c0_g1_i1",1,"GO:0019843"
"TRINITY_DN101012_c0_g1_i1",1,"GO:1990904"
"TRINITY_DN101053_c0_g1_i1",1,"GO:0000139"
"TRINITY_DN101053_c0_g1_i1",1,"GO:0006629"
"TRINITY_DN101053_c0_g1_i1",1,"GO:0016758"
"TRINITY_DN10106_c0_g1_i1",1,"GO:0005829"
"TRINITY_DN10106_c0_g1_i1",1,"GO:0006979"
"TRINITY_DN10106_c0_g1_i1",1,"GO:0008379"
"TRINITY_DN10106_c0_g1_i1",1,"GO:0019430"
"TRINITY_DN10106_c0_g1_i1",1,"GO:0042744"
"TRINITY_DN10106_c0_g1_i1",1,"GO:0045321"
"TRINITY_DN10106_c0_g1_i1",1,"GO:0045454"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0000070"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0000086"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0000122"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0000132"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0000278"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0000281"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0000287"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0000775"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0000776"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0000779"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0000785"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0000795"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0000922"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0000940"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0001578"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0004672"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0004674"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0005524"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0005634"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0005737"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0005813"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0005814"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0005819"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0005876"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0006468"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0007052"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0007094"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0007095"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0007098"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0007346"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0008017"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0010800"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0010997"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0015630"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0016321"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0016567"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0019901"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0030071"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0030496"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0031648"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0032436"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0032465"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0033365"
